Entity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Barbados,4.538947051,4.395257597,4.454249103,4.491566111,4.479656765,4.401617242,4.322654579,4.200245086,4.193634255,4.128722064,4.111697182,4.029115873,3.946698032,3.953020233,3.935124631,3.952914267,3.958051006,3.974271622
Belarus,33.72758037,35.0551137,36.95362752,35.73983409,34.53625807,35.0777284,33.11092188,30.36381932,30.48032543,29.89694257,29.21760042,29.2426896,24.2811457,22.56644214,21.09553997,19.5853203,18.85417888,19.03487291
Belgium,18.49771146,18.22101832,17.77476605,17.29909414,16.58430966,16.43260513,15.9472714,16.17433814,16.43143544,16.3277502,16.17355485,16.32236789,16.10532114,15.62929679,15.07078424,14.90918706,14.42261498,14.27531877
Belize,9.048532504,8.915739416,8.546257748,8.371474287,8.260771318,8.010595424,7.7744098,7.590517845,7.480914672,7.463918744,7.489032686,7.614991763,7.510386109,7.484311897,7.424651679,7.526193195,7.784886233,7.83283388
Benin,12.2600176,12.28190162,12.2938454,12.20744799,12.10015653,11.96787493,11.89261521,11.80092142,11.73335177,11.68465101,11.69077112,11.71402403,11.74786611,11.66619662,11.53343466,11.38338307,11.23485116,11.13786332
Bermuda,4.09674443,3.960364519,3.858001917,3.811070428,3.761269829,3.724056419,3.674925681,3.63437987,3.630524274,3.619929532,3.626654412,3.575805779,3.582876162,3.582952931,3.50593648,3.467461209,3.449199951,3.428443337
Bhutan,7.133372121,6.962672206,6.79389964,6.718548295,6.6090327,6.545564202,6.44371956,6.369431685,6.283661739,6.195509796,6.111584124,6.050095774,5.995023633,5.944346872,5.892241138,5.837235718,5.784970548,5.717799366
Bolivia,8.171102011,7.997725363,7.941279143,7.794260695,7.650739089,7.442831755,7.333737388,7.271032685,7.15554055,7.063533114,6.966135185,6.850586521,6.736757508,6.640963112,6.54466633,6.490374362,6.445286497,6.410848412
Bosnia and Herzegovina,8.694873323,8.259431464,7.832694368,7.363201227,6.90005156,6.920025351,6.6849847,6.917077532,6.547736151,6.314112431,6.112302742,5.961875814,6.233897372,6.632646979,7.007268378,7.002741071,6.933259919,6.847151393
Botswana,13.08186904,13.07368849,13.08300642,13.07158297,12.83066485,12.30405437,11.76846487,10.8619132,10.92523739,10.91331995,10.81892765,10.78622321,10.59372723,10.48915984,10.42371857,10.32602331,10.12045331,10.00756064
Brazil,6.331652424,6.318188171,6.272734495,6.266385207,6.246677176,6.173933403,6.0637318,6.02563486,6.007047992,6.013116894,5.968093623,6.015857698,6.051261689,6.03351673,5.996477592,5.979826161,6.070050194,6.08930437
